org_id,org_title,cluster_name
332,Space Florida,Aerospace Vehicles and Defense
332,Space Florida,Aerospace Vehicles and Defense
445,Ohio Aerospace Institute,Aerospace Vehicles and Defense
445,Ohio Aerospace Institute,Aerospace Vehicles and Defense
597,Professional Aerospace Contractors Association,Aerospace Vehicles and Defense
597,Professional Aerospace Contractors Association,Aerospace Vehicles and Defense
630,"Mele Associates, Inc",Aerospace Vehicles and Defense
630,"Mele Associates, Inc",Aerospace Vehicles and Defense
1022,Aerospace Components Manufacturers,Aerospace Vehicles and Defense
1022,Aerospace Components Manufacturers,Aerospace Vehicles and Defense
2247,Colorado Space Coalition,Aerospace Vehicles and Defense
2247,Colorado Space Coalition,Aerospace Vehicles and Defense
2249,Ball Aerospace & Technologies Corp.,Aerospace Vehicles and Defense
2249,Ball Aerospace & Technologies Corp.,Aerospace Vehicles and Defense
2250,Sierra Nevada Corporation,Aerospace Vehicles and Defense
2250,Sierra Nevada Corporation,Aerospace Vehicles and Defense
2257,Upper Michigan Green Aviation Coalition,Aerospace Vehicles and Defense
2257,Upper Michigan Green Aviation Coalition,Aerospace Vehicles and Defense
2493,Cluster for Unmanned Vehicles and Robotics,Aerospace Vehicles and Defense
2493,Cluster for Unmanned Vehicles and Robotics,Aerospace Vehicles and Defense
281,Supplier Excellence Alliance,Aerospace Vehicles and Defense
281,Supplier Excellence Alliance,Aerospace Vehicles and Defense
281,Supplier Excellence Alliance,Aerospace Vehicles and Defense
332,Space Florida,Aerospace Vehicles and Defense
332,Space Florida,Aerospace Vehicles and Defense
332,Space Florida,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
343,Florida Aviation Aerospace Alliance,Aerospace Vehicles and Defense
